system,parameter,parameter_value,algorithm,seed,speedup,communication_overhead,load_balance,mq,algorithm_runtime_s,measurement_type
demo_eight_class,number_of_modules,5.0,DTMC-GA,1,2.579185218767667,0.07476442299785976,0.8590661474978949,9.959800000000001,0.03394765260018175,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,2,2.7692304454137058,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,1.0,DTMC-GA,2,2.7149318092291232,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,2.0,DTMC-GA,2,2.606334536859958,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,4.0,DTMC-GA,2,2.3891399921216285,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.04,DTMC-GA,2,2.6910404093079068,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.08,DTMC-GA,2,2.7149318092291232,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.16,DTMC-GA,2,2.6671490093866908,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.24,DTMC-GA,2,2.6193662095442583,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,2.0,DTMC-GA,2,2.6470585139983953,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,3.0,DTMC-GA,2,2.7149318092291232,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
